,start,end,day,id
2108,['2019-08-01 00:00:16'],['2019-09-15 23:59:16'],45,85
2109,['2019-08-01 00:00:22'],['2019-08-01 14:00:22'],0,84
2110,['2019-08-01 00:00:32'],['2019-08-01 14:00:32'],0,83
2111,['2019-08-01 00:00:29'],['2019-08-01 14:00:29'],0,82
2112,['2019-08-01 00:00:24'],['2019-08-01 14:00:24'],0,81
2113,['2019-08-01 00:00:57'],['2019-08-01 13:59:57'],0,80
2114,['2019-08-01 00:00:17'],['2019-09-15 23:59:17'],45,79
2115,['2019-08-01 00:00:18'],['2019-09-15 23:59:18'],45,78
2116,['2019-08-01 00:00:56'],['2019-08-01 13:59:56'],0,77
2117,['2019-08-01 00:00:20'],['2019-09-15 23:59:20'],45,76
2118,['2019-08-01 00:00:23'],['2019-09-15 23:59:23'],45,75
2119,['2019-08-01 00:00:00'],['2019-08-01 14:00:00'],0,74
2120,['2019-08-01 00:00:21'],['2019-09-15 23:59:21'],45,73
2121,['2019-08-01 00:00:52'],['2019-09-15 23:59:52'],45,72
2122,['2019-08-01 00:00:40'],['2019-09-15 23:59:40'],45,71
2123,['2019-08-01 00:00:05'],['2019-08-01 14:00:05'],0,68
2124,['2019-08-01 00:00:09'],['2019-09-02 13:01:09'],32,67
2125,['2019-08-01 00:00:04'],['2019-08-01 13:59:04'],0,66
2126,['2019-08-01 00:00:57'],['2019-09-15 23:59:57'],45,65
2127,['2019-08-01 00:00:59'],['2019-09-15 23:59:59'],45,64
2128,['2019-08-01 00:00:57'],['2019-08-01 13:59:57'],0,63
2129,['2019-08-01 00:00:53'],['2019-09-15 23:59:53'],45,62
2130,['2019-08-01 00:00:51'],['2019-09-15 23:59:51'],45,61
2131,['2019-08-01 00:00:54'],['2019-09-15 23:59:54'],45,60
2132,['2019-08-01 00:00:44'],['2019-09-15 23:59:44'],45,59
2133,['2019-08-01 00:00:49'],['2019-09-15 23:59:49'],45,58
2134,['2019-08-01 00:00:47'],['2019-09-15 23:59:47'],45,57
2135,['2019-08-01 00:00:40'],['2019-09-15 23:38:40'],45,56
2136,['2019-08-01 00:01:26'],['2019-09-15 23:39:26'],45,54
2137,['2019-08-01 00:00:27'],['2019-09-15 23:39:27'],45,53
2138,['2019-08-01 00:00:41'],['2019-09-02 13:03:41'],32,52
2139,['2019-08-01 00:01:26'],['2019-09-15 23:59:26'],45,51
2140,['2019-08-01 00:00:25'],['2019-09-15 23:59:25'],45,50
2141,['2019-08-01 00:00:43'],['2019-09-15 23:59:43'],45,49
2142,['2019-08-01 00:00:51'],['2019-09-15 23:59:51'],45,48
2143,['2019-08-01 00:00:07'],['2019-09-15 23:37:07'],45,47
2144,['2019-08-01 00:00:08'],['2019-08-01 14:00:08'],0,46
2145,['2019-08-01 00:00:10'],['2019-08-01 14:00:10'],0,45
2146,['2019-08-01 00:00:59'],['2019-08-01 13:59:59'],0,44
2147,['2019-08-01 00:00:52'],['2019-09-15 23:59:52'],45,43
2148,['2019-08-01 00:00:01'],['2019-09-15 23:59:01'],45,41
2149,['2019-08-01 00:00:17'],['2019-09-15 23:59:17'],45,40
2150,['2019-08-01 00:00:09'],['2019-08-01 14:00:09'],0,39
2151,['2019-08-01 00:00:03'],['2019-08-01 14:00:03'],0,38
2152,['2019-08-01 00:00:39'],['2019-09-15 23:38:39'],45,37
2153,['2019-08-01 00:00:56'],['2019-09-15 23:59:56'],45,36
2154,['2019-08-01 00:00:41'],['2019-09-15 23:59:41'],45,35
2155,['2019-08-01 00:00:36'],['2019-08-01 14:00:36'],0,34
2156,['2019-08-01 00:00:00'],['2019-09-16 00:00:00'],46,33
2157,['2019-08-01 00:00:02'],['2019-09-15 23:59:02'],45,32
2158,['2019-08-01 00:00:37'],['2019-08-01 14:00:37'],0,31
2159,['2019-08-01 00:00:35'],['2019-08-01 14:00:35'],0,29
2160,['2019-08-01 00:00:08'],['2019-09-15 23:37:08'],45,28
2161,['2019-08-01 00:00:48'],['2019-09-15 23:59:48'],45,27
2162,['2019-08-01 00:00:24'],['2019-09-15 23:59:24'],45,25
2163,['2019-08-01 00:00:15'],['2019-09-15 23:59:15'],45,24
2164,['2019-08-01 00:00:49'],['2019-09-15 23:59:49'],45,23
2165,['2019-08-06 11:36:14'],['2019-08-11 08:13:14'],4,4
2166,['2019-08-01 00:00:19'],['2019-09-15 23:59:19'],45,2
2167,['2019-08-01 00:00:55'],['2019-09-15 23:59:55'],45,1
