,id,max_time,min_time,11_days_length
142,52720,2019-08-16 09:19:15,2019-08-15 20:36:15,752
143,52719,2019-08-16 09:19:15,2019-08-15 20:36:15,750
144,52718,2019-08-16 09:19:09,2019-08-15 20:36:09,754
145,52717,2019-08-16 09:19:07,2019-08-15 20:36:08,757
146,52716,2019-08-16 09:19:08,2019-08-15 20:36:08,749
147,52715,2019-08-16 09:19:02,2019-08-15 20:36:02,753
148,52714,2019-08-16 09:19:00,2019-08-15 20:36:00,750
149,52713,2019-08-16 09:19:01,2019-08-15 20:36:01,755
150,52712,2019-08-16 09:18:59,2019-08-15 20:35:59,750
151,52711,2019-08-16 09:19:57,2019-08-15 20:35:57,751
152,52710,2019-08-16 09:19:56,2019-08-15 20:35:56,760
153,52709,2019-08-16 09:19:55,2019-08-15 20:35:55,750
154,52708,2019-08-16 09:19:54,2019-08-15 20:35:54,756
155,52707,2019-08-16 09:19:53,2019-08-15 20:35:53,751
156,52706,2019-08-16 09:19:52,2019-08-15 20:35:52,752
157,52705,2019-08-16 09:19:52,2019-08-15 20:35:52,752
158,52704,2019-08-16 09:19:51,2019-08-15 20:35:51,758
159,52703,2019-08-16 09:19:51,2019-08-15 20:35:51,758
160,52702,2019-08-16 09:19:51,2019-08-15 20:35:51,758
161,52701,2019-08-16 09:19:50,2019-08-15 20:35:50,757
162,52700,2019-08-16 09:19:50,2019-08-15 20:35:50,757
163,52699,2019-08-16 09:19:49,2019-08-15 20:35:49,753
164,52698,2019-08-16 09:19:49,2019-08-15 20:35:49,753
165,52697,2019-08-16 09:19:49,2019-08-15 20:35:49,754
166,52696,2019-08-16 09:19:48,2019-08-15 20:35:48,757
167,52695,2019-08-16 09:19:47,2019-08-15 20:35:47,760
168,52694,2019-08-16 09:19:47,2019-08-15 20:35:47,760
169,52693,2019-08-16 09:19:46,2019-08-15 20:35:46,756
170,52692,2019-08-16 09:19:45,2019-08-15 20:35:45,754
171,52691,2019-08-16 09:19:45,2019-08-15 20:35:45,754
172,52690,2019-08-16 09:19:44,2019-08-15 20:35:44,754
173,52689,2019-08-16 09:19:43,2019-08-15 20:35:43,754
174,52688,2019-08-16 09:19:42,2019-08-15 20:35:42,754
175,52687,2019-08-16 09:19:43,2019-08-15 20:35:43,754
176,52686,2019-08-16 09:19:42,2019-08-15 20:35:42,754
177,52685,2019-08-16 09:19:41,2019-08-15 20:35:41,758
178,52684,2019-08-16 09:19:41,2019-08-15 20:35:41,758
179,52683,2019-08-16 09:19:41,2019-08-15 20:35:41,758
180,52682,2019-08-16 09:19:40,2019-08-15 20:35:40,755
181,52681,2019-08-16 09:19:40,2019-08-15 20:35:40,755
182,52680,2019-08-16 09:19:40,2019-08-15 20:35:40,755
183,52678,2019-08-16 09:19:39,2019-08-15 20:35:39,758
184,52677,2019-08-16 09:19:39,2019-08-15 20:35:39,758
185,52676,2019-08-16 09:19:39,2019-08-15 20:35:39,758
186,52674,2019-08-16 09:19:38,2019-08-15 20:35:38,753
187,52673,2019-08-16 09:19:34,2019-08-15 20:35:34,755
188,52672,2019-08-16 09:19:33,2019-08-15 20:35:33,757
